Subsystem,Section,Subteam,Project,Part,Mass Margin (%),Component Mass % Relative to Vehicle,Component Mass % Without PV,Mass Allotted (lbs),Minimum Mass Allotted (lbs),Maximum Mass Allotted (lbs),kg,Mass Measured (lbs),Mass Measured (kg),Mass Allotted (kg),Minimum Mass Allotted (kg),Maximum Mass Allotted (kg),Notes,length,outerDiameter,startDiameter,endDiameter,Tip Position x (m),Tip Position y (m),Tip Position z (m),CGx (m),CGy (m),CGz (m),Rocket CGz (m),Radial CG (m),Theta (degrees),Length (in),Diam/Width (in),Tip Position (in),CGx (in),CGy (in),CGz (in),CGz (in),Radial CG (in),MOIx (kg m^2),MOIy (kg m^2),MOIz (kg m^2),Shape,surfaceRoughness,class,Wet Mass Allocation,Dry Mass Allocation
,Upper ,Total,22.16,,,,,,0.0000,0.0000,0.0000,,0.00,0.00,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,Airframe,Total,13.16,,,,,0.0000,0.0000,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,Nose Cone,Total,3.16,,,,0.0000,0.0000,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Nose Cone,,1.37%,1.71%,3.8600,3.8600,3.8600,1.7509,1.6037,0.7274306197,1.750866548,1.750866548,1.750866548,18in Karman Main,0.59,0.15,0,,0,0,0,0,0,-0.37,,,,,,,,,,,,0.00525395,0.0326866,0.03268814,Cylindrical,60,None,0.81%,0.97%
,,,,Nose Cone Tip Bolt,1.00%,0.05%,0.06%,0.0346,0.0343,0.0349,0.0157,0.0544,0.024670889,0.015694296,0.01553735304,0.01585123896,In Person,,,,,0,0,0.0740156,,,-0.03,,,,,,,,,,,,0.00000008,0.00000027,0.00000027,Spherical,60,Mass,0.03%,0.03%
,,,,Nose Cone Tip,1.00%,0.20%,0.25%,0.2428,0.2404,0.2452,0.1101,0.2300,0.1043262451,0.1101322274,0.1090309052,0.1112335497,18in Karman Tip,0.06,0.044196,0,,0,0,0,0,0,-0.05,,,,,,,,,,,,0.00001634,0.00002761,0.00002761,Spherical,60,Mass,0.12%,0.14%
,,,,Nose Cone Shell,10.00%,2.69%,3.37%,2.8825,2.5943,3.1708,1.3075,3.1596,1.433170452,1.307480007,1.176732006,1.438228007,MidShell_Nosecone_Upper,0.65,0.1482344,,,0,0,0,0,0,-0.34,0.34,0,0,25.59055118,5.836,0,0,0,-13.38582677,13.38582677,0,0.00525395,0.0326866,0.03268814,Cylindrical,60,Nosecone,1.61%,1.90%
,,,,,,,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Recovery System,Total,10.00,,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
