Time (s),Injector Temp (C),NOX Pressure (PSI),Ox Tank Load Cell (kg),Thrust Load Cell (lbf),Chamber Pressure (PSI),Light Sensor (V),Nitrous Bottle (PSI),Comment
1639.0,22.647325,670.866915,-6.979752,33.366068,6.771158,0.535923,513.147498,Standby
1639.001,21.008303,674.839838,-6.990692,33.267716,8.165926,0.5205,514.542941,
1639.002,22.292942,672.410117,-6.968813,31.792433,8.494107,0.523782,510.520781,
1639.003,22.204346,673.329471,-6.979752,32.775955,7.796723,0.493594,511.382672,
1639.004,20.388133,674.971174,-6.968813,34.054534,8.124904,0.481781,515.281705,
1639.005,22.913112,671.622099,-6.957873,34.152886,7.878768,0.506063,515.897342,
1639.006,22.071452,671.819103,-6.957873,28.841866,8.453084,0.503109,510.684951,
1639.007,20.964005,672.410117,-6.990692,30.513854,8.86331,0.481781,509.576804,
1639.008,21.849963,672.869794,-6.968813,31.399024,8.617175,0.4995,515.36379,
1639.009,21.141197,674.347327,-6.957873,31.792433,7.796723,0.502453,514.789196,
1639.01,21.938559,672.048942,-6.968813,31.989137,7.919791,0.508688,508.591786,
1639.011,22.913112,669.849059,-6.968813,30.612206,9.109446,0.526079,515.199621,
1639.012,21.805665,672.541453,-6.957873,31.202319,9.273536,0.53822,508.83804,
1639.013,22.647325,673.756313,-6.968813,32.480898,7.468542,0.530673,507.976149,
1639.014,21.27409,676.54721,-6.990692,30.907263,8.53513,0.540517,512.203521,
1639.015,21.584176,673.362305,-6.990692,30.907263,7.304452,0.523126,512.080394,
1639.016,22.603027,672.11461,-6.990692,33.071012,7.714678,0.54347,508.468658,
1639.017,21.052601,674.708501,-6.957873,33.169364,8.53513,0.534938,514.419814,
1639.018,22.425835,674.347327,-6.968813,33.366068,8.124904,0.50475,513.311668,
1639.019,20.831112,673.88765,-6.946933,33.366068,7.427519,0.521813,507.565725,
1639.02,22.558729,675.463685,-6.990692,32.775955,9.273536,0.504422,510.767035,
1639.021,21.008303,673.493641,-6.957873,32.087489,7.960813,0.497531,509.946186,
1639.022,21.672771,670.308736,-6.979752,34.054534,7.673655,0.500156,513.147498,
1639.023,23.090304,675.365183,-6.968813,31.202319,6.073774,0.502781,511.300587,
1639.024,22.071452,675.726358,-6.990692,31.103967,8.576152,0.470952,509.576804,
1639.025,22.735921,675.496519,-6.979752,31.300672,7.714678,0.497203,509.535762,
1639.026,21.672771,671.622099,-6.968813,31.792433,7.919791,0.506391,515.404833,
1639.027,21.849963,671.195256,-6.979752,32.480898,5.622525,0.512297,508.961168,
1639.028,21.628474,669.061042,-7.001632,31.202319,8.288994,0.531001,515.651088,
1639.029,22.824516,671.22809,-6.990692,32.874307,8.53513,0.526407,508.879083,
1639.03,21.539878,670.407239,-6.990692,31.595728,7.796723,0.54347,509.084295,
1639.031,22.027155,673.88765,-6.979752,31.890785,7.796723,0.523454,514.748154,
1639.032,21.362686,671.556431,-6.990692,34.743,9.314559,0.547079,514.337729,
1639.033,22.071452,672.804125,-6.990692,32.775955,7.59161,0.518532,508.468658,
1639.034,21.672771,671.22809,-7.012572,32.874307,8.904333,0.532641,510.725993,
1639.035,22.248644,673.033964,-6.968813,33.956182,8.53513,0.525422,510.561823,
1639.036,22.33724,675.463685,-6.979752,32.972659,7.468542,0.515907,514.050432,
1639.037,21.938559,670.34157,-6.957873,33.071012,7.099339,0.499172,507.401555,
1639.038,22.735921,675.66069,-6.979752,31.989137,9.560695,0.502125,508.879083,
1639.039,21.052601,670.801247,-6.957873,30.80891,8.53513,0.493594,514.132517,
1639.04,22.603027,672.016108,-6.979752,31.890785,7.550587,0.501469,513.763135,
1639.041,22.292942,673.690645,-7.001632,31.497376,7.59161,0.48539,509.00221,
1639.042,22.647325,675.168178,-6.990692,31.300672,9.068423,0.50475,511.957267,
1639.043,21.185495,670.604243,-6.957873,30.120445,8.247971,0.480796,509.905144,
1639.044,20.521026,673.624977,-6.968813,31.989137,6.976271,0.500813,511.834139,
1639.045,22.292942,674.347327,-6.957873,32.087489,7.222406,0.530673,513.147498,
1639.046,22.11575,676.415873,-6.979752,31.202319,9.232514,0.545439,511.916224,
1639.047,21.362686,674.839838,-6.968813,33.267716,8.453084,0.536907,508.058234,
1639.048,21.141197,675.956196,-6.957873,32.677603,8.53513,0.537563,513.02437,
1639.049,21.185495,672.869794,-7.001632,32.382546,7.304452,0.5205,513.065413,
1639.05,21.406984,672.672789,-6.990692,33.169364,7.878768,0.52411,514.501899,
1639.051,21.849963,673.920484,-6.957873,33.071012,8.617175,0.521813,508.591786,
1639.052,22.027155,675.004008,-6.968813,32.087489,8.617175,0.522469,508.509701,
1639.053,21.584176,674.609999,-6.968813,31.595728,8.781265,0.514594,515.651088,
1639.054,22.160048,672.541453,-7.001632,30.120445,7.632632,0.476203,508.755955,
1639.055,20.65392,671.129588,-7.001632,32.087489,6.935248,0.505406,508.427616,
1639.056,21.229793,671.786269,-6.979752,32.087489,8.412062,0.502125,506.909045,
1639.057,22.204346,671.95044,-6.979752,30.710558,7.714678,0.491297,506.252366,
1639.058,21.008303,673.953318,-6.968813,31.103967,6.771158,0.501141,510.192441,
1639.059,22.868814,671.425095,-6.968813,31.595728,8.206949,0.482437,510.315569,
1639.06,22.33724,671.851937,-7.001632,30.80891,6.976271,0.518204,508.920125,
1639.061,22.603027,671.556431,-7.001632,31.103967,8.042858,0.522469,510.520781,
1639.062,20.078048,675.956196,-6.990692,31.300672,8.617175,0.537563,513.229583,
1639.063,21.052601,675.496519,-6.990692,32.480898,7.878768,0.537892,507.770937,
1639.064,20.609622,674.018986,-6.968813,34.743,7.632632,0.540845,514.091474,
1639.065,20.742516,676.284537,-7.001632,34.152886,7.837745,0.54347,512.613946,
1639.066,22.11575,674.544331,-6.979752,32.775955,9.150469,0.534282,510.767035,
1639.067,22.071452,672.377283,-6.968813,32.972659,7.7557,0.540845,510.890163,
1639.068,21.761367,673.460807,-6.968813,33.562773,7.796723,0.538548,515.569003,
1639.069,21.938559,674.807004,-6.968813,32.775955,6.976271,0.520172,505.021093,
1639.07,21.185495,673.033964,-6.979752,29.825388,6.689113,0.501469,510.479738,
1639.071,21.761367,675.857694,-6.990692,30.710558,8.781265,0.488015,511.054333,
1639.072,21.938559,674.248824,-6.957873,32.480898,7.468542,0.480796,514.912323,
1639.073,21.894261,671.425095,-6.979752,32.480898,7.468542,0.502781,510.192441,
1639.074,22.027155,671.260924,-6.979752,31.497376,8.822288,0.498844,514.009389,
1639.075,22.071452,675.595021,-6.957873,31.202319,8.86331,0.500813,510.890163,
1639.076,21.805665,674.642833,-7.001632,30.80891,8.165926,0.469312,511.34163,
1639.077,22.33724,674.708501,-7.023512,32.480898,7.222406,0.521157,514.625026,
1639.078,20.65392,670.374405,-7.165732,33.071012,7.714678,0.517875,510.808078,
1639.079,23.311793,672.475785,-7.089152,31.792433,7.632632,0.514266,515.36379,
1639.08,20.964005,671.260924,-7.132912,29.431979,7.550587,0.512953,509.617847,
1639.081,23.090304,674.150322,-7.078212,33.169364,9.929898,0.53822,512.080394,
1639.082,22.514431,676.777048,-7.001632,33.956182,6.566045,0.536251,513.106455,
1639.083,21.628474,671.195256,-7.023512,32.775955,7.632632,0.533954,511.054333,
1639.084,21.938559,672.738457,-7.034452,32.874307,8.206949,0.518204,515.158578,
1639.085,21.894261,670.637077,-7.034452,32.087489,8.658197,0.53297,514.091474,
1639.086,22.647325,674.248824,-7.001632,32.677603,5.991729,0.51,513.434795,
1639.087,21.229793,675.036842,-7.012572,33.661125,8.083881,0.502125,514.748154,
1639.088,21.539878,673.132466,-7.034452,30.907263,8.412062,0.494906,512.449776,
1639.089,22.735921,674.248824,-7.023512,31.69408,8.53513,0.492281,511.752054,
1639.09,21.008303,670.89975,-6.990692,32.480898,7.919791,0.486703,514.378771,
1639.091,22.558729,673.296636,-7.012572,31.69408,7.796723,0.499828,513.475837,
1639.092,21.982857,675.82486,-7.034452,31.595728,6.976271,0.492937,509.248465,
1639.093,21.584176,674.248824,-7.001632,30.415501,9.970921,0.507703,514.994408,
1639.094,21.539878,673.198134,-7.034452,32.087489,9.068423,0.509016,515.281705,
1639.095,23.001708,669.816225,-7.034452,33.661125,8.412062,0.525094,510.684951,
1639.096,21.318388,672.607121,-7.012572,32.480898,7.509565,0.523126,516.512979,
